host_id,property_id,room_type,price,cleaning_fee,availability_next_30,availability_next_60,availability_next_90,reviews_per_month,review_scores_rating,review_scores_location,cancellation_policy,host_since,host_response_time,host_response_rate,host_is_superhost,host_listings_count,neighbourhood_group_cleansed,latitude,longitude,property_type,ordinal_rating,available,Years_host
14455,1,Entire home/apt,71.0,35.0,5,12,17,0.17,98.0,10.0,moderate,2009,within an hour,100%,0,1.0,Lisboa,38.69675,-9.1984,Apartment,4 Stars,Yellow,11
107347,2,Entire home/apt,90.0,30.0,5,8,13,1.6,96.0,10.0,moderate,2010,within an hour,100%,1,1.0,Lisboa,38.71167,-9.12696,Apartment,4 Stars,Yellow,10
125768,5,Entire home/apt,100.0,40.0,4,14,44,2.95,91.0,10.0,moderate,2010,within a few hours,100%,0,3.0,Lisboa,38.712720000000004,-9.12628,Apartment,3 Stars,Yellow,10
126415,6,Entire home/apt,60.0,0.0,3,8,13,2.45,96.0,10.0,strict_14_with_grace_period,2010,within an hour,100%,1,2.0,Lisboa,38.71239,-9.12887,Apartment,4 Stars,Yellow,10
128075,7,Entire home/apt,1050.0,50.0,2,3,17,0.42,98.0,10.0,strict_14_with_grace_period,2010,within an hour,100%,1,3.0,Lisboa,38.71195,-9.15877,Apartment,4 Stars,Yellow,10
128890,8,Entire home/apt,100.0,30.0,0,0,1,0.33,93.0,9.0,strict_14_with_grace_period,2010,within a day,100%,0,2.0,Lisboa,38.74712,-9.15286,Apartment,3 Stars,Red,10
176410,9,Entire home/apt,150.0,20.0,5,28,49,3.28,88.0,10.0,moderate,2010,within an hour,99%,0,11.0,Lisboa,38.70953,-9.14255,Apartment,2 Stars,Yellow,10
136230,10,Entire home/apt,70.0,20.0,18,48,78,1.13,88.0,10.0,flexible,2010,within an hour,100%,0,12.0,Lisboa,38.71082,-9.1509,Apartment,2 Stars,Green,10
218778,11,Entire home/apt,65.0,0.0,14,15,39,0.11,82.0,9.0,flexible,2010,within a few hours,100%,0,5.0,Lisboa,38.71309,-9.14392,Apartment,2 Stars,Green,10
218990,12,Entire home/apt,100.0,20.0,0,0,0,0.47,99.0,10.0,strict_14_with_grace_period,2010,within an hour,100%,1,1.0,Cascais,38.6965,-9.42571,House,4 Stars,Red,10
222551,13,Entire home/apt,235.0,50.0,8,19,30,0.79,100.0,9.0,strict_14_with_grace_period,2010,within an hour,100%,1,1.0,Sintra,38.803340000000006,-9.37913,Apartment,5 Stars,Green,10
225054,14,Entire home/apt,125.0,50.0,3,30,60,0.24,100.0,10.0,strict_14_with_grace_period,2010,within a few hours,100%,0,1.0,Sintra,38.805890000000005,-9.38532,Apartment,5 Stars,Yellow,10
225364,15,Entire home/apt,230.0,30.0,28,33,63,0.09,100.0,9.0,strict_14_with_grace_period,2010,within a day,100%,0,1.0,Alenquer,39.06003,-9.04619,Cottage,5 Stars,Green,10
229376,16,Entire home/apt,60.0,0.0,10,24,42,0.39,90.0,9.0,strict_14_with_grace_period,2010,within an hour,100%,0,2.0,Lisboa,38.70388,-9.1652,Apartment,2 Stars,Green,10
267647,20,Private room,30.0,0.0,12,41,71,0.27,97.0,9.0,flexible,2010,within an hour,100%,1,1.0,Mafra,39.00186,-9.416830000000001,House,4 Stars,Green,10
270457,21,Entire home/apt,75.0,35.0,17,47,77,1.25,93.0,9.0,moderate,2010,within an hour,100%,0,8.0,Lisboa,38.71903,-9.1239,Apartment,3 Stars,Green,10
322145,22,Entire home/apt,103.0,20.0,3,13,20,0.54,96.0,10.0,moderate,2010,a few days or more,0%,0,1.0,Lisboa,38.71295,-9.14739,Loft,4 Stars,Yellow,10
184400,23,Entire home/apt,90.0,0.0,20,50,80,0.25,92.0,8.0,strict_14_with_grace_period,2010,within a day,68%,0,18.0,Lisboa,38.705009999999994,-9.16348,Apartment,3 Stars,Green,10
405842,24,Entire home/apt,100.0,30.0,7,13,35,0.38,90.0,9.0,strict_14_with_grace_period,2011,within a few hours,100%,0,7.0,Lisboa,38.72807,-9.163110000000001,Apartment,2 Stars,Yellow,9
184400,25,Entire home/apt,105.0,20.0,30,60,90,0.21,87.0,9.0,strict_14_with_grace_period,2010,within a day,68%,0,18.0,Lisboa,38.71255,-9.16001,Apartment,2 Stars,Green,10
456477,26,Entire home/apt,103.0,35.0,3,5,9,1.28,93.0,9.0,strict_14_with_grace_period,2011,within an hour,100%,0,2.0,Cascais,38.69899,-9.433710000000001,Apartment,3 Stars,Yellow,9
335614,27,Entire home/apt,110.0,30.0,6,21,32,2.13,89.0,9.0,strict_14_with_grace_period,2011,within an hour,100%,0,2.0,Lisboa,38.72034,-9.128919999999999,Apartment,2 Stars,Yellow,9
181902,28,Entire home/apt,203.0,60.0,9,21,27,0.77,93.0,10.0,strict_14_with_grace_period,2010,within an hour,100%,0,37.0,Lisboa,38.71178,-9.13798,Apartment,3 Stars,Green,10
383078,29,Entire home/apt,105.0,0.0,16,42,65,1.76,99.0,10.0,strict_14_with_grace_period,2011,within an hour,89%,1,1.0,Lisboa,38.71588,-9.14065,Apartment,4 Stars,Green,9
482911,30,Entire home/apt,95.0,30.0,0,1,13,0.78,94.0,9.0,strict_14_with_grace_period,2011,within an hour,100%,0,1.0,Lisboa,38.72361,-9.1434,Apartment,3 Stars,Red,9
483396,31,Entire home/apt,75.0,0.0,0,0,0,0.35,94.0,9.0,flexible,2011,within a day,100%,0,1.0,Lisboa,38.715270000000004,-9.12307,Apartment,3 Stars,Red,9
485573,32,Entire home/apt,125.0,0.0,10,17,47,0.29,95.0,10.0,strict_14_with_grace_period,2011,within a day,100%,0,1.0,Lisboa,38.7124,-9.14989,House,3 Stars,Green,9
490050,33,Private room,46.0,0.0,19,28,58,2.77,95.0,10.0,flexible,2011,within a day,80%,0,1.0,Lisboa,38.721379999999996,-9.144060000000001,Apartment,3 Stars,Green,9
184400,34,Entire home/apt,165.0,20.0,27,57,87,0.18,88.0,9.0,strict_14_with_grace_period,2010,within a day,68%,0,18.0,Lisboa,38.71767,-9.152619999999999,Apartment,2 Stars,Green,10
183877,35,Entire home/apt,75.0,25.0,10,31,55,0.97,90.0,10.0,strict_14_with_grace_period,2010,within an hour,100%,0,1.0,Lisboa,38.719120000000004,-9.13058,Guest suite,2 Stars,Green,10
538753,36,Entire home/apt,120.0,40.0,21,51,75,1.38,96.0,10.0,strict_14_with_grace_period,2011,within an hour,100%,0,11.0,Lisboa,38.71725,-9.13007,Apartment,4 Stars,Green,9
544047,37,Private room,17.0,0.0,0,0,25,0.41,78.0,8.0,flexible,2011,within a few hours,100%,0,2.0,Oeiras,38.7462,-9.2786,House,1 Star,Red,9
547928,38,Private room,50.0,20.0,0,0,0,1.23,97.0,10.0,flexible,2011,a few days or more,0%,1,2.0,Cascais,38.70035,-9.38247,Apartment,4 Stars,Red,9
557442,40,Private room,43.0,17.0,0,0,0,1.4,98.0,10.0,moderate,2011,within a few hours,100%,1,4.0,Lisboa,38.748020000000004,-9.14038,Apartment,4 Stars,Red,9
574017,41,Entire home/apt,159.0,60.0,1,1,14,0.09,100.0,9.0,strict_14_with_grace_period,2011,within a few hours,86%,0,3.0,Cascais,38.699220000000004,-9.44053,Condominium,5 Stars,Yellow,9
387186,43,Entire home/apt,78.0,30.0,5,17,43,2.03,97.0,9.0,strict_14_with_grace_period,2011,within an hour,99%,1,9.0,Lisboa,38.708690000000004,-9.162360000000001,Apartment,4 Stars,Yellow,9
606629,44,Entire home/apt,125.0,45.0,4,5,23,0.5,88.0,10.0,moderate,2011,within a few hours,100%,1,1.0,Lisboa,38.715540000000004,-9.12571,Apartment,2 Stars,Yellow,9
184400,45,Entire home/apt,200.0,50.0,30,60,90,0.23,91.0,9.0,strict_14_with_grace_period,2010,within a day,68%,0,18.0,Lisboa,38.71999,-9.15892,Apartment,3 Stars,Green,10
615634,47,Entire home/apt,92.0,30.0,3,7,9,0.67,91.0,10.0,moderate,2011,within an hour,100%,1,1.0,Lisboa,38.71298,-9.15115,Apartment,3 Stars,Yellow,9
624049,48,Entire home/apt,70.0,25.0,0,16,19,2.15,91.0,10.0,strict_14_with_grace_period,2011,within an hour,100%,0,3.0,Lisboa,38.711999999999996,-9.137039999999999,Apartment,3 Stars,Red,9
624049,49,Entire home/apt,65.0,25.0,18,40,70,1.75,93.0,10.0,strict_14_with_grace_period,2011,within an hour,100%,0,3.0,Lisboa,38.71512,-9.13518,Apartment,3 Stars,Green,9
624278,51,Entire home/apt,97.0,28.0,22,52,82,1.69,88.0,10.0,strict_14_with_grace_period,2011,within an hour,98%,0,11.0,Lisboa,38.71523,-9.12384,Apartment,2 Stars,Green,9
628095,53,Private room,25.0,0.0,22,46,76,3.54,91.0,9.0,strict_14_with_grace_period,2011,within an hour,100%,0,7.0,Lisboa,38.72828,-9.13192,Apartment,3 Stars,Green,9
643374,55,Private room,60.0,30.0,6,23,36,1.79,92.0,10.0,moderate,2011,within an hour,90%,0,2.0,Lisboa,38.71869,-9.13694,Apartment,3 Stars,Yellow,9
643762,56,Private room,66.0,0.0,20,37,67,0.18,85.0,7.0,flexible,2011,within a day,100%,0,2.0,Cascais,38.68647,-9.329889999999999,Villa,2 Stars,Green,9
656138,57,Entire home/apt,70.0,30.0,2,6,22,2.38,93.0,10.0,strict_14_with_grace_period,2011,within an hour,100%,1,2.0,Lisboa,38.71079,-9.13223,Apartment,3 Stars,Yellow,9
656540,58,Private room,26.0,0.0,7,31,51,6.34,92.0,9.0,strict_14_with_grace_period,2011,within an hour,100%,0,1.0,Sintra,38.796209999999995,-9.473419999999999,Bed and breakfast,3 Stars,Yellow,9
659768,59,Entire home/apt,90.0,40.0,4,16,46,1.82,90.0,9.0,strict_14_with_grace_period,2011,within an hour,80%,0,2.0,Lisboa,38.71955,-9.1229,Apartment,2 Stars,Yellow,9
663233,60,Entire home/apt,105.0,30.0,7,14,30,2.08,95.0,10.0,moderate,2011,within an hour,100%,0,6.0,Lisboa,38.711040000000004,-9.14551,Apartment,3 Stars,Yellow,9
656138,62,Entire home/apt,70.0,30.0,7,25,55,1.71,95.0,10.0,strict_14_with_grace_period,2011,within an hour,100%,1,2.0,Lisboa,38.71216,-9.13113,Apartment,3 Stars,Yellow,9
218778,63,Entire home/apt,65.0,0.0,0,0,0,0.02,90.0,10.0,flexible,2010,within a few hours,100%,0,5.0,Lisboa,38.71363,-9.14435,Apartment,2 Stars,Red,10
677938,65,Entire home/apt,60.0,25.0,5,6,8,2.59,96.0,10.0,strict_14_with_grace_period,2011,within an hour,100%,1,1.0,Lisboa,38.71138,-9.13032,Apartment,4 Stars,Yellow,9
678222,66,Entire home/apt,140.0,50.0,3,8,8,1.03,95.0,10.0,moderate,2011,within an hour,100%,0,3.0,Lisboa,38.71018,-9.13292,Apartment,3 Stars,Yellow,9
682628,67,Entire home/apt,201.0,85.0,23,53,83,0.29,83.0,9.0,strict_14_with_grace_period,2011,within an hour,80%,0,8.0,Lisboa,38.71246,-9.14396,Apartment,2 Stars,Green,9
688914,69,Entire home/apt,92.0,40.0,3,10,16,0.17,94.0,10.0,strict_14_with_grace_period,2011,within an hour,100%,0,71.0,Cascais,38.695809999999994,-9.423110000000001,Apartment,3 Stars,Yellow,9
